Player Name,Team,Position,Games Played,Total Points
Tyler Johnson,Chargers,QB,7,208.9
Dustin Alexander,Jaguars,QB,12,323.65
Joshua Walker,Chargers,WR,2,39.28
Mark Miller,Raiders,RB,10,210.99
Donald Owen,Saints,RB,9,204.44
Shawn Barron,Panthers,WR,16,321.76
Brandon Kennedy,Steelers,WR,12,205.44
Ryan Scott,Packers,WR,7,123.96
Cory Daniel,Giants,K,5,35.19
Edward Robertson,Broncos,TE,13,164.89
Brian Collins,Packers,QB,11,294.94
Alexander Thompson,Bears,TE,13,106.64
Peter Miller,Buccaneers,QB,13,370.05
Nathaniel Castro,Chargers,K,2,13.68
Daniel Roberts,Cardinals,QB,2,43.47
Michael Greer,Cowboys,K,9,74.22
Daniel Bass,Cardinals,K,8,60.27
Anthony Adkins,Bears,RB,10,218.3
James Pennington,Titans,DEF,9,98.81
Samuel Baker,Vikings,K,3,10.75
Hunter Simmons,Broncos,TE,3,25.19
Todd Cooper,Cardinals,QB,4,127.35
Justin Thomas,Lions,WR,16,279.72
Ralph Oliver,Dolphins,RB,1,10.43
Kyle Arias,Broncos,TE,12,116.98
Derek Dixon,Broncos,WR,10,225.29
Andrew Morris,Bengals,K,4,33.02
Shawn Riley,Bears,RB,1,27.26
Austin Davis,Panthers,RB,4,78.68
Richard Dunlap,Panthers,WR,1,5.76
Jeremy Palmer,Steelers,K,1,2.69
Phillip Jackson,Cowboys,TE,12,73.44
Brian Cowan,Lions,DEF,3,30.49
Patrick Murray,Broncos,WR,14,259.23
Brandon Mckenzie,Bengals,QB,11,313.46
Christopher Davidson,49ers,TE,14,83.26
Dalton Garcia,Steelers,QB,8,231.14
Andrew Jefferson,Bears,QB,15,414.62
Cory Smith,Jets,RB,8,149.98
Erik Henderson,Lions,RB,6,133.08
Jaime Phillips,Eagles,DEF,14,158.84
Donald Smith,Rams,DEF,11,88.43
Antonio Guerrero,Vikings,TE,7,59.33
Benjamin Byrd,Dolphins,K,2,15.06
Michael Pacheco,Falcons,TE,14,152.79
Carlos Farley,Bengals,WR,1,11
Richard Green,Cardinals,K,5,54.68
Kevin Lawrence,Steelers,QB,14,368.24
Mason Gonzalez,Rams,K,7,72.72
Mark Lucas,Colts,K,13,72.73
Brian Hall,Redskins,RB,4,79.5
Julian Payne,Patriots,WR,14,247.86
Christopher Walton,49ers,K,16,120.35
Jeffrey Williams,Falcons,K,14,124.39
Cody Hays,Packers,DEF,15,132.65
Edwin Lowery,Saints,QB,1,21.1
Craig Adams,Redskins,TE,3,18.8
Joseph Russell,Panthers,WR,5,82.39
William Murray,Packers,RB,1,20.27
Sean Chen,Eagles,WR,2,37.47
Kevin Taylor,Steelers,TE,14,163.87
Ruben Chen,Chargers,RB,16,312.58
George Webb,49ers,K,12,70.32
Mark Rogers,Vikings,TE,11,104.94
Roy Hicks,Packers,RB,12,249.69
Keith Vargas,Broncos,TE,10,127.01
Eric Moody,Broncos,QB,4,77.86
Mario Hanna,Jets,DEF,10,94.56
Dustin Stevenson,Giants,QB,4,100.65
Samuel Adams,Colts,DEF,14,126.36
Victor Gonzalez,Rams,QB,8,209.17
Darrell Alexander,Steelers,K,9,67.2
David Johnson,Seahawks,WR,10,147.53
William Ruiz,Steelers,QB,2,59.53
Travis Norman,Steelers,QB,8,218.62
James Gonzalez,Vikings,K,7,37.38
Jason Jones,Cardinals,WR,1,5.94
Edward Williamson,Dolphins,WR,8,176.09
Daniel Peterson,Bears,RB,9,170.2
Richard Cox,Jets,RB,11,204.36
Joseph Singh,Falcons,QB,10,350.21
Kevin Dennis,Seahawks,TE,12,77.44
Daniel Rojas,Rams,WR,3,61.13
Hector Garner,Dolphins,TE,7,57.7
Kenneth Briggs,Ravens,RB,1,15.3
Jonathan Hughes,Raiders,TE,13,130.88
Benjamin Campbell,Chiefs,WR,16,247.48
Justin Henson,Bengals,K,6,31.68
Timothy Simmons,Texans,TE,16,146.42
Eric Torres,Dolphins,WR,1,15.7
Christopher Leach,Saints,K,14,102.57
Victor Camacho,Saints,QB,1,18.07
Eric Bennett,49ers,K,5,59.19
Eric Glover,Dolphins,DEF,6,81.34
Grant Massey,Texans,DEF,11,75.32
William Johnson,Cardinals,TE,16,130.13
Andrew Gonzalez,Bengals,RB,13,233.87
Michael Garcia,Bengals,K,14,123.53
Christopher Barr,Seahawks,TE,9,87.51
Daniel Harrison,Bears,DEF,6,54.73
Joel Rodgers,Buccaneers,QB,6,187.33
Gregory Herrera,Packers,QB,6,214.18
Eric Guerrero,Seahawks,WR,3,81.76
Jim Banks,Jets,TE,10,127.26
Shawn Jefferson,Patriots,DEF,14,174.07
Mark Gould,Ravens,K,9,67.47
Michael Sanders,Buccaneers,QB,6,144.78
Jared Taylor,Buccaneers,RB,5,122.11
Dean Hoffman,Buccaneers,TE,9,93.51
Charles Baker,Jaguars,DEF,7,67.58
Joel Nelson,Texans,TE,9,81.79
Christian Bailey,Seahawks,RB,10,233.34
Benjamin House,49ers,RB,14,286.13
Ian Gordon,Browns,WR,14,262.18
Michael Lewis,Seahawks,TE,13,136.04
Charles Williams,49ers,K,2,16.47
Brandon Alexander,Cowboys,QB,9,257.96
Mark Gordon,Packers,WR,15,239.22
Roy Jones,Patriots,RB,5,98.92
Frank Baker,Seahawks,RB,8,169.85
Bryan Francis,Bengals,DEF,8,83.29
James Martin,Saints,TE,8,69.71
Michael Hunt,Falcons,DEF,9,77.77
Ernest Rogers,Jaguars,RB,7,132.97
James Garcia,49ers,QB,15,391.12
Bradley Reyes,Rams,TE,4,22.3
Cody Mosley,Seahawks,DEF,14,126.91
David Jackson,Raiders,QB,11,320.62
James Martin,Chiefs,QB,1,24.01
Chris Brewer,Raiders,DEF,7,76.63
Michael Smith,Ravens,K,3,30.83
Wayne Williams,Colts,DEF,4,48.11
Jamie Giles,Bills,DEF,10,109.81
Brian Taylor,Jets,RB,15,279.58
Michael Turner,Cardinals,K,8,49.6
Christopher Miller,Bears,RB,2,39.31
Ricky Jimenez,Steelers,RB,9,161.17
James Cline,Dolphins,QB,6,174.54
Jason Davis,Lions,DEF,11,112.48
David Duke,Chiefs,QB,3,90.15
Benjamin Cook,Ravens,DEF,16,170.69
William Wagner,Falcons,WR,1,28.84
Anthony Garcia,Bengals,RB,9,154.16
Antonio Miller,Jets,DEF,11,131.73
Todd Smith,Steelers,DEF,13,121.42
Bradley Butler,Chiefs,RB,9,200.12
James King,Browns,WR,13,227.76
Patrick Garner,Broncos,K,4,34.7
Erik Haynes,Jets,TE,10,120.46
Mark Levy,Saints,QB,2,62.68
Kristopher Clark,Bengals,K,12,71.15
Thomas Peterson,Giants,QB,3,73.03
Stephen Clayton,Cowboys,DEF,16,124.99
Robert Anderson,Lions,DEF,1,6.95
Matthew Yu,Lions,RB,4,83.06
Wayne Wells,Rams,K,9,77.11
Robert Gregory,Bengals,DEF,13,125.84
Eric Brown,49ers,QB,15,378.27
Patrick Kelly,Redskins,RB,1,16.87
Ryan Smith,Seahawks,DEF,14,133.62
Alfred Briggs,Jaguars,QB,12,336.15
Steven Kaufman,Bears,DEF,16,103.75
Keith Lawson,Bengals,DEF,16,131.91
Kenneth Foster,Bears,TE,10,89.38
Erik Brown,Chiefs,QB,8,219.18
Mark Smith,Eagles,DEF,16,165.15
Joseph Porter,Bears,RB,9,181.41
Christopher Miller,Colts,QB,7,187.48
Glenn Graham,Packers,WR,1,24.32
James Cline,Jets,TE,7,78.77
Michael Morse,Dolphins,WR,11,190.88
William Brooks,Rams,RB,11,231.73
Ethan Moore,Titans,K,1,7.82
Daniel Ryan,Jets,TE,8,46.72
Joshua Anderson,Falcons,K,8,68.28
Matthew Bennett,Chargers,DEF,8,77.6
Devin Davis,Steelers,QB,9,237.46
Tim Floyd,Chargers,TE,9,89.2
Randy Castillo,Bears,K,7,37.18
Jose Levine,Jaguars,WR,3,75.88
John Chaney,Browns,TE,13,104.62
Michael Mitchell,Texans,DEF,4,42.44
Robert Murphy,Redskins,RB,8,144.22
Daniel Stuart,Chargers,TE,16,186.21
Seth Barron,Vikings,TE,15,150.62
Ryan Martin,Jaguars,TE,12,141.96
Edward Anderson,Jaguars,TE,9,55.93
Manuel Sullivan,Bengals,QB,2,56.21
Mark Bryant,Jaguars,QB,16,503.63
Christopher Lopez,Dolphins,QB,8,213.85
Justin Petersen,Jets,DEF,11,129.8
Jermaine Long,Bears,K,4,28.94
Kyle Allen,Bills,K,3,17.75
Matthew Lopez,Giants,RB,16,301.29
Frank Santos,49ers,TE,5,35.74
Benjamin Lambert,Bears,WR,7,145.26
Vincent Wheeler,Vikings,DEF,3,21.07
Ronald Brown,Cowboys,TE,10,118.26
Daniel Lane,Steelers,DEF,8,95.81
James Knight,Rams,TE,14,180.5
Andrew Franklin,Titans,WR,5,75.44
Gregory Davis,Patriots,QB,5,105.15
Michael Jones,Vikings,QB,4,91.33
Alan Gordon,Vikings,RB,15,280.79
David Crane,Cardinals,DEF,9,95.61
Eric Hendricks,Steelers,WR,7,140.56
James Bell,Packers,TE,10,112.21
Michael Pittman,Redskins,RB,11,225.16
Aaron White,Chiefs,DEF,13,85.04
Joseph Villa,Lions,DEF,8,65.51
James Gonzalez,Lions,DEF,3,25.06
Hunter Anderson,Jaguars,K,3,32.04
Andrew Mccoy,Bengals,RB,12,255.51
David Ingram,Dolphins,TE,14,139.87
Alan Lopez,Eagles,QB,2,61.6
Michael Murphy,Patriots,RB,16,313.56
Robert Johnson,Titans,K,14,101.51
Jason English,Jaguars,WR,7,109.55
Richard Cisneros,Packers,K,14,126.67
Joshua Armstrong,49ers,RB,3,63.6
Brian Swanson,Rams,QB,6,175.91
Eric Barnes,Falcons,K,14,128.72
David Richardson,Titans,DEF,8,83.17
Sean Hernandez,Buccaneers,WR,1,6.55
Christopher Williams,Jets,WR,15,305.68
Lee Lewis,Titans,QB,6,165.59
Kevin Mcclain,49ers,K,7,75.1
Gerald Taylor,Lions,TE,6,60.58
Matthew Brown,Steelers,K,15,101.26
Luis Grimes,49ers,K,11,76.92
Michael Soto,Buccaneers,QB,3,75.45
Richard Duncan,Lions,QB,12,316.5
Jonathan Pierce,Buccaneers,RB,8,169.01
Michael Mendoza,Texans,TE,8,55.14
William Weber,Redskins,WR,5,115.28
Michael Gray,Falcons,DEF,5,58.28
Jeffrey Howard,Broncos,TE,16,152.63
Thomas Baird,Eagles,RB,3,59.88
Joseph Marks,Browns,WR,4,70.6
Christopher Reynolds,Patriots,WR,14,257.85
Timothy Noble,Redskins,DEF,14,132.97
Sergio Hill,Chiefs,DEF,8,77.09
Matthew Guerrero,Cowboys,QB,11,299.92
William Bean,Panthers,QB,7,174.91
Jason Huber,Vikings,DEF,9,90.77
Andrew Ellis,Jaguars,TE,2,9.45
Chris Dawson,Giants,K,2,14.19
Miguel Brown,Dolphins,DEF,5,59.95
Trevor Williamson,Browns,K,4,19.88
Elijah Mullen,Dolphins,WR,15,260.16
Matthew Potter,49ers,TE,6,74.26
Luis Nash,Cowboys,DEF,15,144.46
Edward Clay,Steelers,TE,12,105.52
Kent Brown,Jaguars,WR,9,130.11
James Guerrero,Cardinals,RB,6,116.08
Mark Nichols,Cowboys,RB,13,234.87
Roy Wiggins,Texans,QB,12,327.34
James Wells,Ravens,QB,11,300.59
Joel Williams,Eagles,RB,7,153.32
Lance Spencer,Bears,TE,1,2.29
Peter Robinson,Eagles,WR,2,18.72
Jim Colon,Ravens,QB,15,388.94
Frank Garza,Raiders,K,11,66.28
Donald Miller,Dolphins,DEF,9,99.14
Matthew Richards,Chargers,DEF,16,149.28
Raymond Williams,Steelers,WR,4,71.99
Jeremy Reynolds,Chargers,TE,14,175.28
David Lopez,Bills,TE,11,99.37
Michael Walters,Jaguars,TE,1,11.96
Paul Blanchard,Seahawks,TE,1,11.64
Todd Deleon,49ers,RB,8,164.52
Daniel Sloan,49ers,DEF,7,54.51
Michael Moore,Seahawks,RB,4,87.85
Eric Taylor,Packers,TE,5,50.24
Vincent Perry,Dolphins,K,1,13.14
Robert Hicks,Seahawks,WR,3,70.36
Michael Ray,Cardinals,WR,8,169.51
Robert Johnson,Falcons,DEF,11,137.49
Jason Padilla,Chargers,RB,14,321.01
Caleb Hayes,Saints,RB,10,211.41
Christopher Mason,Raiders,WR,10,198.98
Scott Welch,Jets,DEF,1,2.7
Evan Young,Bengals,QB,2,49.66
John Fletcher,Texans,WR,15,274.04
Earl Cunningham,Bengals,K,2,7.78
Jeremy Harrison,Ravens,TE,1,8.25
Thomas Cruz,Jets,QB,7,158.15
Thomas Little,Vikings,QB,9,235.47
Charles Castro,Raiders,QB,13,375.32
Brian Bernard,Texans,RB,13,306.23
Jacob Guerrero,Bengals,QB,12,326.47
Nathan Rice,Texans,DEF,3,39.14
Jerome Fox,Texans,TE,15,150.2
James Gray,Saints,QB,10,292.63
Nicholas Brennan,Patriots,QB,3,96.4
Angel Brown,Jets,QB,1,36.85
David Smith,Colts,DEF,9,93.11
Jonathan Mitchell,Chargers,K,9,90.67
John Erickson,Raiders,WR,16,283.34
James Chavez,Packers,QB,10,224.09
Robert Friedman,Chargers,RB,8,182.01
Jose Adams,Colts,QB,13,376.07
John Gonzalez,Chiefs,TE,3,32.29
Patrick Cohen,Rams,QB,2,58.88
Edward Cortez,Cowboys,WR,4,36.28
Bryan Pugh,Packers,WR,11,138.29
Allen Rojas,Ravens,WR,15,270.84
Danny Bishop,Cardinals,QB,14,395.19
Mark Parker,Chiefs,K,15,156.61
Kevin Dawson,Bills,K,4,38.19
Chase Martin,Titans,RB,6,108.73
Anthony Daniels,Vikings,RB,16,327.86
Xavier Patrick,Cowboys,TE,5,53.16
Brian Valentine,Browns,WR,8,136.49
Nathan Mendoza,Patriots,K,6,37.17
Brian King,Panthers,WR,12,212.41
Mario Wilson,Packers,QB,9,243.72
Robert Mason,Cowboys,DEF,2,21.43
James Scott,Broncos,WR,2,22.58
Casey Hobbs,Panthers,WR,8,163.82
Michael Jackson,Cowboys,DEF,7,49.29
Randy Weaver,Bears,K,5,56.71
James Allen,Jaguars,TE,2,36.83
Christopher Huff,Bears,QB,16,395.1
Patrick Washington,Cardinals,K,12,67.68
Robert Davis,Redskins,RB,14,258.77
Michael Johnson,Raiders,QB,5,181.59
Stephen Esparza,Chargers,WR,8,149.67
Christopher Villanueva,Steelers,K,4,9.31
Lucas Foster,Bengals,RB,2,31.58
Christopher Abbott,Cowboys,WR,9,181.5
Jonathan Schwartz,Packers,TE,16,145.34
Michael Mccormick,Broncos,WR,6,73.37
Marco Martinez,Browns,TE,2,26.7
Jeffery Walker,Titans,RB,12,251.76
David Solis,Lions,TE,15,141.08
Dylan Gomez,Ravens,DEF,5,57.06
Alec Savage,Chargers,WR,12,219.12
Calvin Green,Buccaneers,RB,8,164.97
Nicholas Chung,Bengals,WR,5,102.8
Matthew Hill,Dolphins,K,14,115.37
Anthony Brewer,Cardinals,TE,11,108.48
Jerry Donovan,Seahawks,QB,1,39.21
Anthony Miller,Packers,RB,12,236.26
John Dunn,Panthers,TE,9,70.36
Ryan Blair,Bears,WR,13,200.36
Christopher Kelley,Redskins,WR,15,245.52
David Diaz,Chargers,QB,3,80.22
Gregory Stewart,Cardinals,WR,11,225.28
Jason Williams,Giants,K,4,22.31
Jeffrey White,Chiefs,RB,4,71.78
Kenneth Zuniga,Jaguars,QB,13,373.09
Jesse Herrera,Bengals,K,10,55.22
James Everett,Texans,K,5,39.15
Phillip Koch,Colts,WR,15,281.13
Patrick Frazier,Falcons,DEF,3,26.83
Scott Lowe,Panthers,TE,14,140.1
Craig Whitehead,Chiefs,RB,2,37.4
Michael Turner,Jets,QB,9,237.18
Martin Jennings,Cardinals,QB,6,192.38
John Mata,Lions,TE,10,78.65
Matthew Liu,Raiders,K,4,33.45
Jackson Mcdonald,Cowboys,TE,16,215.48
James Moore,Packers,K,15,79.83
Michael Smith,Patriots,QB,2,39.72
Brent Edwards,Colts,DEF,15,153.95
James Brown,Rams,RB,1,24.06
Wyatt Graham,Cardinals,RB,5,110.94
Brian Baxter,Dolphins,RB,12,218.68
Timothy Turner,Lions,RB,16,301.52
Robert May,Texans,K,10,89.22
Gabriel Wallace,Saints,RB,13,290.03
Richard Evans,49ers,TE,10,94.36
Derrick Brown,Redskins,WR,2,39.77
William Brown,Broncos,K,13,120.01
Nicolas Tyler,Bengals,WR,10,171.62
Christopher Hughes,Browns,QB,4,105.86
Thomas Soto,Steelers,TE,5,57.77
Hunter Brown,Browns,TE,13,132.21
Thomas Middleton,Vikings,WR,11,203.46
Tim Williams,Raiders,K,8,61.27
William Park,Cardinals,K,2,11.7
Barry Aguilar,Rams,RB,7,144.17
Craig Johnson,Chiefs,K,16,112.66
Daniel Harrison,Eagles,RB,8,195.58
Anthony Brown,Jets,WR,12,240.68
Samuel David,Texans,DEF,10,124.46
Melvin Erickson,Bears,RB,15,282.93
Robert Dyer,Bills,TE,12,95.9
Jordan Cruz,Panthers,WR,5,69.83
Steven Sandoval,Panthers,RB,13,240.76
Keith Mcgee,49ers,RB,12,205.98
Joseph Mclean,Browns,WR,3,43.95
Jason Sexton,Titans,TE,12,94.03
David Bradshaw,Packers,K,5,27.22
Aaron Hill,Bengals,TE,14,110.6
Darren Mullins,Eagles,RB,14,288.03
Thomas Moody,Cowboys,TE,1,12.59
Cody Ray,Packers,RB,12,267.15
James Bradley,Jets,RB,8,156.66
Steven Wilson,Ravens,RB,12,237.28
James Ross,Seahawks,K,6,40
Joshua Taylor,Vikings,WR,9,143.63
Sean Washington,Giants,QB,2,75.2
Travis Daniels,Jaguars,RB,13,250.44
Andrew Richardson,Bengals,K,5,53.21
Steven Richardson,Cardinals,TE,2,18.37
Elijah Baird,Jaguars,K,4,47.5
Michael Burke,Dolphins,RB,11,216.11
Eric Martinez,Falcons,K,1,14.56
James Carlson,Colts,TE,6,92.78
Harold Burns,Steelers,TE,5,32.48
Chad Villegas,Panthers,K,14,87.77
Rodney Glenn,Colts,WR,16,259.49
Dustin Hernandez,Patriots,WR,2,25.57
Joseph Sanders,Broncos,QB,16,473.12
Patrick Ross,Raiders,RB,11,228.92
Noah Gill,Bengals,DEF,16,163.81
Angel Harrell,Lions,TE,7,85.94
Anthony King,49ers,TE,16,131.62
Robert Berry,Bills,K,2,6.38
Christopher Meyers,Vikings,DEF,1,17.72
Dean Wright,Vikings,RB,14,269.18
Brett Davis,Ravens,QB,6,131.37
Adam Robertson,Cardinals,WR,4,88.55
Jacob Lewis,Seahawks,K,16,146.8
Dennis Hunt,Falcons,DEF,4,31.22
Jay Allen,Colts,TE,12,126.27
Mark Hall,Broncos,DEF,8,83.21
Todd Cain,Rams,QB,8,229.08
Charles Hughes,Titans,TE,3,33.9
Peter Mercado,Redskins,DEF,13,158.6
Joseph Gillespie,Texans,TE,2,29.84
William Duran,Raiders,TE,13,139.17
Christopher Gray,Steelers,DEF,11,81.78
Donald Thomas,Colts,QB,6,162.58
Matthew Frazier,Cardinals,DEF,13,143
Ryan Donaldson,Raiders,K,15,109.87
Tyler Richmond,Cardinals,TE,1,1.82
David Sexton,Buccaneers,QB,13,370.74
Kristopher Terrell,Saints,K,1,9.41
Roger Ingram,Lions,WR,14,233.39
Eric Clark,Dolphins,QB,8,217.88
Logan Foster,Bears,TE,14,123.97
Gary Davis,Chargers,TE,3,37.26
James White,Bengals,DEF,4,41.89
Russell Graves,Bears,TE,14,107.86
Jeffrey Kelly,Dolphins,TE,5,32.54
Jason Carter,Patriots,WR,13,253.87
Michael Brown,Seahawks,QB,5,151.69
Jonathan Hill,Cowboys,QB,2,52.01
James Allen,Titans,RB,12,251.31
Sean Thomas,Falcons,DEF,10,108.23
Johnny Wall,Falcons,DEF,8,102.13
Jonathan Deleon,Cardinals,QB,7,220.42
Michael Dunn,Rams,RB,4,69.89
Aaron Robinson,Lions,TE,6,59.23
Brandon Quinn,Packers,RB,2,32.96
Juan Moore,Bears,QB,9,244.3
Charles Powers,Jaguars,K,11,64.56
Zachary Hurst,Dolphins,QB,14,405.68
David Melton,Packers,TE,13,162.26
Ryan Perkins,Rams,QB,5,131.86
Thomas Mckinney,Jets,K,10,92.34
Ryan Hicks,Steelers,QB,5,138.59
Robert Diaz,Chiefs,WR,1,9.98
Timothy Francis,Buccaneers,TE,7,83.31
Aaron Pierce,Buccaneers,K,3,33.21
Kevin Adams,Dolphins,RB,14,257.19
Joshua Bowman,Cowboys,TE,5,45.15
Richard Herrera,Texans,QB,1,30.06
Ronald Scott,49ers,WR,13,249.48
Eric Graves,Ravens,QB,16,430.85
Christopher Bishop,Lions,DEF,10,108.86
Joel Carter,Colts,DEF,5,27.3
Joshua Castillo,Steelers,QB,9,277.85
Ryan Lara,Seahawks,RB,8,159.34
Derrick Wright,Ravens,TE,11,95.27
Omar Gutierrez,Eagles,TE,15,121.27
Daniel Martin,Patriots,DEF,12,86
Willie Hernandez,Cowboys,K,12,60.4
Preston Hart,Vikings,WR,9,153.94
Nicholas Chapman,Cardinals,K,12,88.41
Jose Sullivan,Giants,DEF,4,47.29
Jerry Lambert,Bears,QB,4,96.92
Benjamin Oneal,Packers,WR,12,181.46
Andrew Smith,Bills,WR,7,117.25
Derrick Molina,Rams,DEF,3,33.88
Patrick Buchanan,Bills,DEF,2,2.81
Juan Smith,Saints,QB,14,348.25
Jesus Sanchez,Texans,TE,15,166.66
Joshua Collins,49ers,K,12,69.44
Nicholas Sullivan,Redskins,RB,11,200.92
Steven Scott,Dolphins,DEF,3,24.44
Glenn Hancock,Ravens,QB,11,307.86
Timothy Williams,49ers,RB,14,270.06
Steven Ramirez,Cowboys,RB,12,280.16
Jeffrey Lee,Patriots,WR,13,189.77
Henry Miller,Vikings,RB,2,44.68
Patrick Hardy,Vikings,TE,3,39.64
Herbert Gonzalez,Saints,WR,15,239.02
Steven Chambers,Browns,K,3,29.66
David Cooke,Seahawks,K,8,55.68
Andrew Walter,Saints,RB,14,250.63
Stephen Daniels,Falcons,TE,3,27.66
Darren Bowen,Patriots,TE,12,129.62
Samuel Stevens,Chargers,DEF,4,27.83
James Sullivan,Cardinals,RB,6,118.42
David Johnson,Falcons,DEF,15,152.46
Anthony Kramer,Jets,RB,4,75.07
Christopher Walker,Broncos,RB,2,31.34
Nicholas Rush,Seahawks,WR,7,127.32
Joshua Webb,Steelers,RB,1,24.96
Scott Byrd,Rams,TE,16,186.6
Robert Mcguire,Jets,RB,6,117.83
Arthur Johnson,Broncos,K,13,118.13
Benjamin Shannon,Bears,RB,7,118.87
Brian Moon,Eagles,RB,9,174.47
Albert Schroeder,Jets,DEF,10,95.93
Anthony Thomas,Cardinals,RB,3,52.39
Frederick Jordan,Raiders,QB,4,113.26
Michael Ward,Packers,RB,2,26.97
Patrick Park,49ers,K,11,81.31
Travis Winters,Bengals,QB,12,311.52
George Thomas,Jets,RB,4,67.89
Allen Hernandez,Buccaneers,WR,2,35.69
Travis Olson,Bills,RB,13,267.6
Alex Schneider,Raiders,WR,4,69.32
Jon Powell,Rams,K,7,51.41
Anthony Wells,Eagles,WR,8,130.94
Joe Adams,Seahawks,K,14,106.32
Mitchell Jones,Cowboys,QB,4,104.72
Walter Griffin,49ers,DEF,8,66.88
Matthew Patel,Buccaneers,K,6,47.57
Alexander Brooks,Raiders,RB,1,17.57
Charles Smith,Bills,QB,14,355.36
Juan Lawrence,Titans,K,8,42.79
Jeffrey Wilkinson,Seahawks,QB,7,199.69
Matthew Hartman,Cowboys,TE,2,21.34
Franklin Nichols,Buccaneers,K,6,45.23
Jeffrey Dougherty,Ravens,RB,8,148.43
Brian Rodriguez,Rams,K,9,81.23
Andrew Cook,Bills,RB,11,219.43
Derek Henderson,Buccaneers,TE,10,114.28
Nicholas Tucker,Bills,WR,6,101.88
Christopher Nelson,Bills,QB,14,400.65
Jordan Doyle,Saints,K,3,39.2
Frank Curry,Giants,TE,6,49.02
David Lopez,Rams,QB,13,355.26
Jose Ross,49ers,K,3,26.18
Ronald Vargas,Panthers,QB,3,96.13
Grant Wells,Redskins,K,16,107.12
Jason Pham,Saints,TE,6,55.89
Billy Booker,Texans,DEF,16,179.51
John Martin,Vikings,RB,13,249.6
Eric Payne,Packers,TE,6,46.43
George Hurst,49ers,K,1,0.07
Jesus Brown,Cowboys,RB,16,317.74
Eric Owen,Browns,WR,8,156.93
Eric Crawford,Saints,TE,1,19.85
Andrew Steele,Saints,DEF,3,36.83
Brian Cummings,Titans,WR,11,199.08
Austin Harmon,Chiefs,TE,13,107.19
Steven Green,Jaguars,RB,10,161.02
Matthew Delacruz,Packers,DEF,16,152.64
Eugene Gonzales,Vikings,TE,16,197.8
Daniel Fox,Jaguars,K,13,107.46
Timothy Bishop,Texans,TE,11,128.13
Daniel Goodman,Browns,RB,16,344.7
James Ali,Redskins,TE,6,82.94
Paul Mcdowell,Eagles,DEF,14,132.48
Alex Owens,Panthers,WR,5,124.76
Alexander Martin,Cowboys,RB,3,61.16
Keith Hall,Saints,K,14,104.26
Aaron Rodriguez,Panthers,TE,12,122.88
Adrian Parker,Rams,DEF,2,31.14
David Mendoza,Bengals,K,10,72.31
Robert Solomon,Lions,RB,9,182.96
Thomas Smith,Chargers,DEF,6,56.18
Francis Jones,Falcons,DEF,12,156.29
David Chavez,Chiefs,K,4,26.63
Joshua Brown,Vikings,WR,4,80.15
Michael Walker,Steelers,TE,15,184.12
Sergio Myers,Raiders,QB,9,266.61
Frank Aguirre,Buccaneers,TE,1,12.61
Seth Randolph,Titans,WR,5,87.26
Raymond Hill,Packers,RB,15,303.14
Eduardo Wilson,Bills,WR,13,223.68
Derek James,Packers,DEF,12,118.85
Gary Sullivan,Bengals,WR,7,123.27
David Williams,Lions,DEF,4,35.52
George Martin,Chargers,DEF,7,48.13
Austin Schultz,Giants,QB,4,103.6
Eric Jackson,Rams,K,12,84.74
Pedro Nelson,Texans,QB,15,493.88
Colin Gonzalez,Bears,QB,3,86.29
Matthew Heath,Packers,K,2,3.66
Samuel Phillips,Giants,WR,12,189.63
Kevin Williams,Rams,QB,12,341.28
Jordan Jenkins,Saints,QB,12,309.17
Nathan Calhoun,Jaguars,RB,11,256.96
Nicholas Williams,Redskins,TE,1,12.74
David Salinas,Chargers,DEF,14,155.17
Corey Owens,Raiders,TE,9,66.77
Robert Huerta,Panthers,WR,12,199.2
Joshua Knapp,Broncos,RB,1,15.7
Michael Campbell,Packers,QB,8,219.8
Zachary Johnson,Panthers,TE,8,90.54
David French,Browns,WR,10,175.56
Christopher Small,Redskins,QB,13,356.57
Peter Malone,Bears,RB,5,111.43
Juan Dunn,Cowboys,K,14,133.31
Billy Long,Bengals,WR,7,131.99
George Miller,Raiders,RB,5,106.96
Bradley Donaldson,Broncos,RB,10,217.59
Carlos Snow,Bengals,TE,5,60.96
Scott Woodard,Jets,K,5,57.48
Thomas Guerrero,Vikings,RB,5,104.98
Robert Baker,Bears,QB,12,320.1
Danny Lewis,Panthers,RB,9,156.92
Jason Erickson,Vikings,WR,15,213.22
David Bell,Eagles,DEF,2,17.39
Paul Terry,Rams,TE,12,130.17
James Bernard,Titans,WR,5,81.7
William Richard,Patriots,K,12,110.89
Troy Santiago,Giants,DEF,4,28.19
Rodney Howell,Buccaneers,TE,11,102.03
Chris Cummings,Panthers,WR,10,178.93
Lawrence Williams,Seahawks,RB,4,54.94
Jeffrey Brown,Buccaneers,WR,9,189.26
Nathan Jackson,Giants,TE,13,157.02
Jason Phillips,Steelers,WR,11,202.22
Jacob Trujillo,Dolphins,TE,1,2.6
Eduardo Rodriguez,Falcons,WR,8,155.63
Chad Berry,Patriots,TE,16,129.97
William Mclaughlin,Giants,QB,11,305.51
Robert Hernandez,Packers,QB,10,267.79
Justin Howell,Lions,QB,9,275.34
Robert Roberts,Texans,K,1,4.46
Michael Bell,Eagles,DEF,9,92.08
Lance Morris,Dolphins,TE,11,134.6
